20250731T,5694,6488,5405,6371.5,7296553
20250724T,5853,5923.5,5645,5693.5,1062672
20250717T,5971.5,6090,5842,5853,1110291
20250710T,6145,6274,5977,5998,1968852
20250703T,5901,6398,5896.5,6156.5,3482671
20250626T,5799,5945,5722.5,5867.5,2155993
20250619T,5450,5887.5,5361,5864.5,3907727
20250612T,5760,5799,5317.5,5475.5,1714596
20250605T,5983,5990.5,5550,5731.5,2533098
20250529T,6070,6105,5944,5980,985256
20250522T,6300,6305.5,5808,6024.5,2640916
20250515T,6000,6834.5,5870,6262.5,4384852
20250508T,5850.5,5976,5490,5665.5,1784999
20250501T,5574.8,6004.6,5563.2,5755.5,2090166
20250424T,5697,6187.4,5472.5,5573.9,3428616
20250417T,5046,5844,4926.6,5643,3546300
20250410T,3900,5152.85,3900,5091.15,3001303
20250403T,4878.95,5078.05,4560,4649.75,1845868
20250327T,4936.05,5145,4720,4747.35,3114707
20250320T,4250.7,4890,4216.9,4848.3,3739714
20250313T,4483,4561,3898,4243.9,4759525
20250306T,4189.15,4498,3985,4457.05,3020470
20250227T,4307.45,4465,3905.05,4144.15,3049543
20250220T,3949.1,4490,3825.15,4367.7,5171931
20250213T,4264.3,4315.9,3833.65,4008.4,5876613
20250206T,4750.05,4989.95,4226.1,4279.05,5279134
20250130T,5540,5540,4214.45,4792.35,11572989
20250123T,6595,6684.65,5252.6,5628.5,5254978
20250116T,6574.25,6749.95,5961.2,6579.9,3955778
20250109T,7547.25,7590,6553,6672.35,2758565
20250102T,7088,7822,6860.3,7544.7,2774810
20241226T,7358.8,7525,7021.9,7068.45,1686211
20241219T,6783.85,7780,6776.55,7303.65,6777513
20241212T,6250,6795.55,6191,6752.05,2341140
20241205T,6015.55,6485,5995.35,6232.7,2516583
20241128T,5985.5,6145,5828,5987.45,1646124
20241121T,5551,5980,5494.6,5854.85,1729851
20241114T,5544.8,5848.15,5351.35,5538.15,1623293
20241107T,5540,6037.95,5230.1,5544.3,3446807
20241031T,5348,5619,5160,5440.05,1960669
20241024T,5637,5735.85,5155.65,5301.6,1298760
20241017T,5593.95,5909.95,5402,5610.5,1744129
20241010T,5075.8,5742,4778.4,5590.3,2723064
20241003T,5580,5624.85,5020,5048.5,1354821
20240926T,5505,5810,5405,5552.85,1448748
20240919T,5401,5742,5188,5479.35,3152202
20240912T,4688.05,5508.8,4602,5333.25,6347530
20240905T,4791.8,5050,4566,4700.7,3931427
20240829T,5088,5125,4700,4753.8,1098471
20240822T,5130.6,5380,4947.45,5054.85,1185991
20240815T,4245,5210,4200.75,5082.2,2866385
20240808T,4200,4364.85,4065,4279.15,650248
20240801T,4495,4729,4225.35,4353.4,2116239
20240725T,3851,4279,3726,4249.95,809987
20240718T,4160,4297.9,3880,3901.85,923854
20240711T,4340,4574.15,4063,4142.9,1424595
20240704T,3872,4443.95,3870,4238.8,1460527
20240627T,3888.05,4098,3815,3853.4,928115
20240620T,3760,4030,3730.35,3902.75,1161812
20240613T,3424.9,3815.85,3312.05,3797.85,2219005
20240606T,3556.3,3573.9,2814,3334.25,2650777
20240530T,3299.15,3446.95,3205.6,3388.8,922497
20240523T,2950,3643.7,2816.4,3309.8,1732004
20240516T,2520.05,3080.8,2432.8,3080.35,1826086
20240509T,2565,2576,2424,2531.6,330686
20240502T,2754,2758.9,2516.55,2525.45,420585
20240425T,2680,2737,2585,2728.5,631228
20240418T,2479.95,2650,2429.2,2631.65,613088
20240411T,2660.55,2690,2448,2502.6,1087768
20240404T,2850,2869.95,2634.95,2647.3,755204
20240328T,2695,2900,2675.3,2871.95,527295
20240321T,2625.5,2814,2556.5,2798.95,1252916
20240314T,3115,3118.95,2565.1,2666.6,3037014
20240307T,3042.65,3248.85,2905.65,3112.75,1553498
20240229T,2849.05,3080,2831.55,2945.5,1529499
20240222T,2881.35,2930,2717.75,2854.35,840945
20240215T,2950,2950,2555.5,2795.5,719864
20240208T,2978,2978,2820.1,2903.35,708593
20240201T,2890,2990,2773.2,2907.25,821113
20240125T,2694,2899.95,2678.85,2878.45,430351
20240118T,2750,2833.35,2640,2733.45,487096
20240111T,2563.85,2742.5,2505,2735.3,550112
20240104T,2600,2692.45,2445.05,2556.25,1083639
20231228T,2819,2862.75,2572,2610.55,634976
20231221T,2615,3000,2585.05,2743.5,1712271
20231214T,2374.4,2645,2346.65,2580.45,1090800
20231207T,2480,2488.3,2275.85,2361.6,391377
20231130T,2449.65,2500,2370.9,2434.5,409389
20231123T,2525,2548.65,2400,2450.15,402009
20231116T,2525,2529.2,2415,2492.45,333049
20231109T,2394.2,2507.95,2369.65,2448.2,413079
20231102T,2400,2400.95,2158,2365.8,1125512
20231026T,2440.1,2485.65,2215.55,2379.25,615452
20231019T,2680.6,2689.9,2430,2456.05,643508
20231012T,2555.95,2965.6,2555.95,2668.55,1229911
20231005T,2253.15,2571.5,2212.35,2549.7,770829
20230928T,2055.95,2346.95,2055.95,2287,682595
20230921T,2140,2144.95,1986.1,2050.15,714084
20230914T,2058,2238,2000,2119.25,1348329
20230907T,2039.9,2090,1895,2036.8,1257900
20230831T,2039.95,2054.3,1950,1990.9,1259752
20230824T,1770.2,2149.95,1717.05,1984.3,2044757
20230817T,1722.05,1784.95,1702,1748.35,416682
20230810T,1837.9,1847.9,1685,1731.95,642190
20230803T,1795.1,1838.95,1702.05,1806.3,1833141
20230727T,1803,1914.95,1761.05,1787.15,695191
20230720T,1788,1871,1754.8,1799.1,1037804
20230713T,1605.7,1781,1556.95,1774.95,1986467
20230706T,1512.8,1655.1,1510.15,1605.7,874354
20230629T,1513.45,1555.35,1461.1,1500,701451
20230622T,1571.15,1615.45,1472.2,1499.1,1121317
20230615T,1523,1624.7,1445.05,1562.15,1993068
20230608T,1404.6,1535,1330,1494.45,978015
20230601T,1336.4,1454.75,1303,1401.15,1224380
20230525T,1208,1348.4,1190,1323.15,1621715
